Step_Index,Voltage,Test_Time,SoC,discharge_new
2,3.35,16188.0,0.0990164049605245,-1.739343388888889
2,3.36,16429.0,0.0888853124887583,-1.7593545833333335
2,3.38,16732.0,0.0787533481053909,-1.7793675
2,3.38,16973.0,0.0686174319936373,-1.7993882222222224
2,3.34,17153.0,0.0584886458686872,-1.819394861111112
2,3.35,17393.0,0.0483586081286968,-1.8394039722222224
2,3.25,17573.0,0.0382249139852174,-1.859420305555556
2,3.15,17753.0,0.0280906291919436,-1.879437805555556
2,3.05,17995.0,0.0179589320072925,-1.8994501944444444
2,2.8,18175.0,0.0078217642804986,-1.919473388888889
1,3.37,42.0,0.0203882948816308,0.0116759444444444
1,3.4,222.0,0.046626642474884,0.061749
1,3.42,402.0,0.0728592988314946,0.1118111944444444
1,3.43,582.0,0.0990915185203321,0.1618725555555555
1,3.45,762.0,0.1253288908888921,0.21194375
1,3.45,942.0,0.1515639343626622,0.2620105
1,3.45,1122.0,0.177801001063781,0.3120811111111111
1,3.46,1302.0,0.2040371507625763,0.3621499722222222
1,3.46,1482.0,0.2302723689034557,0.4122170555555555
1,3.47,1662.0,0.2565098722723475,0.4622885
1,3.48,1842.0,0.2827436785207606,0.5123528888888889
1,3.49,2022.0,0.308979027661972,0.5624202222222222
1,3.49,2202.0,0.3352225279349476,0.6125031111111112
1,3.5,2382.0,0.3614574840751631,0.6625696944444445
1,3.51,2562.0,0.387695089333202,0.7126413333333333
1,3.53,2742.0,0.4139208754501827,0.7626904166666666
1,3.54,2922.0,0.4401616247161879,0.8127680555555556
1,3.55,3102.0,0.4663943829619455,0.8628304444444443
1,3.57,3282.0,0.4926289897679426,0.9128963611111112
1,3.59,3462.0,0.518869346032952,0.96297325
1,3.6,3642.0,0.5451046806185709,1.0130405555555555
1,3.62,3822.0,0.5713380065324336,1.063104027777778
1,3.64,4002.0,0.5975802404688672,1.1131845
1,3.69,4230.0,0.6238110773764233,1.1632432222222222
1,3.72,4410.0,0.6500466739627059,1.2133110277777777
1,3.74,4590.0,0.6762810333236317,1.2633764722222225
1,3.76,4770.0,0.7025223648133342,1.3134552222222222
1,3.79,4950.0,0.7287580923999488,1.3635232777777777
1,3.81,5130.0,0.7549872554143747,1.4135788055555554
1,3.84,5310.0,0.7812267674550228,1.4636540833333334
